sample,main_stem_width_one,main_stem_width_two,leaf,leaf_cent_stem_length,leaf_cent_stem_width,num_sideshoots,len_shoot1,wid_shoot1,len_shoot2,wid_shoot2,len_shoot3,wid_shoot3,len_shoot4,wid_shoot4,len_shoot5,wid_shoot5
ms1,0.214,0.208,1,2.13,0.042,32,1.576,0.019,1.034,0.019,1.545,0.023,1.008,0.02,1.815,0.014
ms1,0.214,0.208,2,2.513,0.036,38,1.622,0.023,1.804,0.023,1.475,0.026,0.806,0.019,0.426,0.01
ms1,0.214,0.208,3,2.613,0.036,37,0.558,0.019,0.936,0.024,1.204,0.024,1.546,0.019,1.65,0.026
ms1,0.214,0.208,4,2.861,0.041,36,1.542,0.023,1.738,0.026,1.822,0.026,1.608,0.019,1.442,0.02
ms1,0.214,0.208,5,2.864,0.036,38,1.509,0.02,1.978,0.02,1.675,0.02,1.06,0.023,0.66,0.019
ms3,0.168,0.172,1,2.307,0.046,34,0.847,0.023,1.202,0.026,1.157,0.026,0.917,0.019,0.238,0.019
ms3,0.168,0.172,2,2.126,0.039,34,0.662,0.023,1.22,0.02,1.178,0.026,0.714,0.019,0.637,0.019
ms3,0.168,0.172,3,2.319,0.039,33,1.223,0.016,1.266,0.019,1.034,0.023,0.693,0.023,0.365,0.014
ms3,0.168,0.172,4,2.311,0.042,32,1.252,0.01,1.054,0.02,1.134,0.014,0.823,0.016,0.657,0.013
ms3,0.168,0.172,5,2.221,0.032,37,1.429,0.014,1.326,0.018,1.005,0.016,0.675,0.014,0.315,0.013
ms4,0.172,0.158,1,2.284,0.041,34,0.877,0.02,1.114,0.024,1.041,0.019,0.585,0.023,0.195,0.014
ms4,0.172,0.158,2,2.485,0.039,32,1.057,0.023,1.258,0.019,0.896,0.023,0.816,0.016,0.485,0.02
ms4,0.172,0.158,3,2.359,0.045,34,0.532,0.026,1.033,0.026,0.906,0.023,0.876,0.016,0.352,0.018
ms4,0.172,0.158,4,2.423,0.037,33,1.098,0.023,1.072,0.014,0.726,0.023,0.592,0.016,0.37,0.014
ms4,0.172,0.158,5,2.309,0.035,32,0.958,0.023,1.096,0.02,1.028,0.02,0.787,0.02,0.351,0.016
ms5,0.195,0.217,1,2.162,0.035,33,0.687,0.017,1.016,0.019,0.875,0.016,0.521,0.016,0.212,0.02
ms5,0.195,0.217,2,2.358,0.04,29,0.956,0.014,1.101,0.02,1.111,0.018,0.673,0.019,0.489,0.01
ms5,0.195,0.217,3,2.235,0.04,33,0.704,0.02,1.052,0.016,0.953,0.019,0.73,0.022,0.492,0.022
ms5,0.195,0.217,4,2.154,0.031,36,0.977,0.016,1.085,0.019,0.937,0.019,0.823,0.019,0.463,0.014
ms5,0.195,0.217,5,2.103,0.04,34,0.82,0.014,1.079,0.016,0.95,0.019,0.767,0.014,0.301,0.01
ms6,0.167,0.174,1,2.319,0.027,32,1.195,0.022,0.706,0.029,1.062,0.02,0.796,0.014,0.407,0.016
ms6,0.167,0.174,2,2.063,0.026,32,0.989,0.019,1.141,0.019,0.84,0.02,0.977,0.013,0.344,0.013
ms6,0.167,0.174,3,2.219,0.038,31,1.069,0.016,1.237,0.02,1.195,0.019,1.017,0.025,0.577,0.026
ms6,0.167,0.174,4,2.245,0.036,31,1.294,0.018,1.349,0.02,0.964,0.016,0.851,0.019,0.408,0.019
ms6,0.167,0.174,5,2.048,0.035,31,0.87,0.018,1.176,0.018,0.999,0.02,0.735,0.018,0.464,0.018
